SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
961755,718IRFC2023 ,F ,B,1062.01,1069.00,1062.01,1068.25,1069.00,1069.00,4,400,426052.00,
961759,688REC2023  ,F ,B,1040.10,1041.50,1040.10,1041.10,1041.10,1130.00,4,1020,1061430.00,
961764,734HUDCO23  ,F ,B,1045.10,1060.00,1045.10,1045.68,1045.50,1065.50,6,590,616978.00,
961765,751HUDCO28  ,F ,B,1087.10,1087.11,1087.10,1087.11,1087.11,1104.58,2,700,760972.00,
961766,703HUDCO23  ,F ,B,1025.61,1035.00,1025.01,1030.21,1030.00,1025.10,7,500,513657.00,
961772,688PFC2023  ,F ,B,1018.10,1019.00,1018.10,1019.00,1019.00,1020.63,2,1000,1018550.00,
961778,826REC23    ,F ,B,1097.04,1101.60,1097.04,1101.60,1101.60,1101.10,2,500,549660.00,
961779,871REC28    ,F ,B,1213.30,1213.30,1213.30,1213.30,1213.30,1215.00,1,194,235380.00,
961784,839HUDCO23  ,F ,B,1116.12,1125.00,1116.10,1125.00,1125.00,1115.01,4,670,748420.00,
961790,843NHPC23   ,F ,B,1083.80,1083.80,1083.80,1083.80,1083.80,1081.30,1,370,401006.00,
961791,879NHPC28   ,F ,B,1161.00,1161.00,1161.00,1161.00,1161.00,1175.00,1,100,116100.00,
961794,826IIFCL23  ,F ,B,1102.00,1120.00,1102.00,1105.05,1105.00,1150.00,11,2650,2944177.00,
961802,843PFC23    ,F ,B,1110.01,1123.50,1110.01,1123.50,1123.50,1120.00,8,1228,1372800.00,
961803,879PFC28    ,F ,B,1215.00,1245.00,1215.00,1243.90,1243.90,1213.99,3,160,199159.00,
961804,892PFC33    ,F ,B,1278.00,1292.00,1270.00,1280.00,1280.00,1278.01,21,645,824182.00,
961810,891NTPC33   ,F ,B,1268.01,1275.00,1268.01,1275.00,1275.00,1266.51,11,1590,2025531.00,
